IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_JTOWN,THICK_JTOWN,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY,TOP_DEKOVEN,THICK_DEKOVEN,TOP_LWRDEK,THICK_LWRDEK,TOP_DAVIS,THICK_DAVIS
02301366000C,CLARK,-88.004637,39.416927,660,Oil and Gas Test,Electric Log,,,447,,,,,,,,,
02301375000C,CLARK,-87.836962,39.225401,583,Oil and Gas Test,Electric Log,0,3,-225,,-267,6,,,,,,
02301413000C,CLARK,-87.748686,39.267103,579,Oil and Gas Test,Electric Log,-8,3,,,,,,,,,,
02301426000C,CLARK,-87.971461,39.403962,650,Oil and Gas Test,Electric Log,,,409,,380,3,,,,,,
02301428000C,CLARK,-88.000166,39.425302,658,Oil and Gas Test,Electric Log,,,437,,,,,,,,,
02301429000C,CLARK,-87.981108,39.423816,664,Oil and Gas Test,Electric Log,,,415,,,,,,,,,
02301452000C,CLARK,-87.622924,39.354561,552,Oil and Gas Test,Electric Log,,,-128,,-164,5,,,,,,
02301459000C,CLARK,-87.556959,39.366959,540,Oil and Gas Test,Nuclear Log,,,33,,10,3,,,,,,
02301470000C,CLARK,-88.012591,39.480239,710,Oil and Gas Test,Electric Log,,,355,,340,,,,,,,
02301480000C,CLARK,-87.884184,39.291716,608,Oil and Gas Test,Electric Log,,,291,,242,2.5,,,,,,
02301484000C,CLARK,-87.578662,39.342224,453,Oil and Gas Test,Electric Log,,,-99,,-129,,,,,,,
02301492000C,CLARK,-87.973543,39.359542,667,Oil and Gas Test,Electric Log,,,384,,342,2.5,,,,,,
02301494000C,CLARK,-87.618313,39.367168,499,Oil and Gas Test,Electric Log,,,-73,,,,,,,,,
02301501000C,CLARK,-87.981593,39.351215,657,Oil and Gas Test,Electric Log,,,367,,319,2.5,,,,,,
02301532000C,CLARK,-87.766706,39.250844,598,Oil and Gas Test,Nuclear Log,-5,6.5,-202,,-239,6,,,,,,
02302026000C,CLARK,-87.717731,39.242197,517,Oil and Gas Test,Electric Log,-20,3,-219,,-276,6.5,,,,,,
02302030000C,CLARK,-87.634657,39.296324,488,Oil and Gas Test,Electric Log,,,-132,,,,,,,,,
02302031000C,CLARK,-87.636908,39.316334,499,Oil and Gas Test,Electric Log,,,-111,,-156,,,,,,,
02302041000C,CLARK,-87.921237,39.307976,614,Oil and Gas Test,Electric Log,,,264,,238,3.5,,,,,,
02302045000C,CLARK,-87.988072,39.380098,659,Oil and Gas Test,Electric Log,,,436,,,,,,,,,
02302048000C,CLARK,-87.564902,39.439678,568,Oil and Gas Test,Electric Log,,,58,,,,,,,,,
02302053000C,CLARK,-87.917373,39.285977,554,Oil and Gas Test,Electric Log,,,250,,220,2.5,,,,,,
02302056000C,CLARK,-88.004881,39.198476,594,Oil and Gas Test,Electric Log,180,3,11,,-23,,,,,,,
02302065000C,CLARK,-87.911827,39.304329,607,Oil and Gas Test,Electric Log,,,243,,211,2,,,,,,
02302066000C,CLARK,-87.993297,39.463577,716,Oil and Gas Test,Electric Log,,,313,,296,2.5,,,,,,
02302249000C,CLARK,-87.91161,39.297244,595,Oil and Gas Test,Nuclear Log,,,237,,,,,,,,,
02302371000C,CLARK,-87.927514,39.313994,608,Oil and Gas Test,Nuclear Log,,,269,,248,2,,,,,,
02302802000C,CLARK,-87.970489,39.390496,662,Oil and Gas Test,Nuclear Log,,,393,,,,,,,,,
02302908000C,CLARK,-87.88871,39.233028,585,Oil and Gas Test,Nuclear Log,329,6.5,167,,,,,,,,,
02302930000C,CLARK,-87.824673,39.287684,605,Oil and Gas Test,Nuclear Log,3,3,-171,,-239,2.5,,,,,,
02302932000C,CLARK,-87.806211,39.369209,640,Oil and Gas Test,Nuclear Log,,,-134,,-158,4,,,,,,
02302944000C,CLARK,-87.888601,39.286255,601.5,Producer-Oil and Gas,Electric Log,,,,,238.5,4,,,,,,
02302984000C,CLARK,-87.606953,39.423161,567,Oil and Gas Test,Electric Log,,,-66,,,,,,,,,
02302990000C,CLARK,-87.534901,39.447141,494.3,Coal Test,Drillers Log,,,138.8,0.8,102.3,5.2,,,,,,
02302992000C,CLARK,-87.991106,39.360146,663,Oil and Gas Test,Electric Log,,,363,,,,,,,,,
02302996000C,CLARK,-87.886505,39.2349,592,Oil and Gas Test,Electric Log,341,1.5,,,87,3,,,,,,
02303040000C,CLARK,-88.001805,39.4033,660,Oil and Gas Test,Nuclear Log,,,461,,,,,,,,,
02303070000C,CLARK,-87.916528,39.307998,606,Oil and Gas Test,Electric Log,,,247,,222,3,,,,,,
02303071000C,CLARK,-87.935409,39.248376,599,Oil and Gas Test,Nuclear Log,388,3,234,,209,2,,,,,,
02303078000C,CLARK,-87.937983,39.249161,619,Producer-Oil and Gas,Electric Log,378,,219,,190,,,,,,,
02303080000C,CLARK,-87.932881,39.251879,583,Oil and Gas Test,Nuclear Log,,,232,,210,3.5,,,,,,
02303095000C,CLARK,-87.791557,39.206468,593,Coal Test,Survey Core Study,,,,,-255,8,,,,,,
02303138000C,CLARK,-87.629926,39.350849,544,Oil and Gas Test,Electric Log,,,,,-153,5.5,,,,,,
02303152000C,CLARK,-88.000965,39.381732,661,Oil and Gas Test,Electric Log,,,435,,388,1.5,,,,,,
02303170000C,CLARK,-87.799424,39.297232,612,Oil and Gas Test,Electric Log,22,,-191,,,,,,,,,
02303172000C,CLARK,-88.006681,39.377217,656,Oil and Gas Test,Electric Log,,,375,,336,1,,,,,,
02303173000C,CLARK,-87.909175,39.374063,643,Oil and Gas Test,Electric Log,,,242,,,,,,,,,
02303196000C,CLARK,-87.962509,39.231378,606,Oil and Gas Test,Electric Log,177,,0,,-36,3.5,,,,,,
02303197000C,CLARK,-87.852347,39.294817,623,Oil and Gas Test,Electric Log,91,2.5,-64,,-133,3,,,,,,
02303199000C,CLARK,-87.879107,39.219867,578,Oil and Gas Test,Electric Log,131,2.5,-60,,-116,3,,,,,,
02303218000C,CLARK,-87.909795,39.23864,597,Producer-Oil and Gas,Electric Log,376,,221,,197.5,,,,,,,
02303587000C,CLARK,-87.938281,39.175948,527,Oil and Gas Test,Electric Log,313,2.5,,,,,,,,,,
02303621000C,CLARK,-87.564916,39.432436,571,Oil and Gas Test,Electric Log,,,61,,19,3.5,,,,,,
02303630000C,CLARK,-87.91196,39.233181,566,Oil and Gas Test,Nuclear Log,404,3,250,,224,4.5,,,,,,
02303643000C,CLARK,-87.696026,39.411021,639,Oil and Gas Test,Electric Log,,,-142,,-181,3.5,,,,,,
02303657000C,CLARK,-87.662418,39.20043,470,Oil and Gas Test,Electric Log,57,4,-168,,-216,3.5,,,,,,
02303688000C,CLARK,-87.646275,39.392185,586,Oil and Gas Test,Nuclear Log,,,-106,,-125,4,,,,,,
02323723000C,CLARK,-87.791716,39.222799,588,Oil and Gas Test,Nuclear Log,8,4,-192,,-228,6,,,,,,
02323727000C,CLARK,-87.9366,39.427897,644,Oil and Gas Test,Electric Log,,,339,,,,,,,,,
02323736000C,CLARK,-87.950089,39.177734,567,Producer-Oil and Gas,Electric Log,199,1,15,,-23,4,,,,,,
02323769000C,CLARK,-87.806503,39.298966,616,Oil and Gas Test,Electric Log,66,,,,,,,,,,,
02323830000C,CLARK,-87.971816,39.308096,636,Coal Test,Drillers Log,,,,,199,4,,,,,,
02323837000C,CLARK,-87.940434,39.316047,629,Oil and Gas Test,Nuclear Log,,,237,,213,4,,,,,,
02323839000C,CLARK,-87.834902,39.388362,680,Oil and Gas Test,Electric Log,,,,,-46,,,,,,,
02323855000C,CLARK,-87.592583,39.362108,503,Oil and Gas Test,Electric Log,,,,,-137,2.5,,,,,,
02323878000C,CLARK,-87.888821,39.29527,601,Oil and Gas Test,Electric Log,,,266,,,,,,,,,
02323920000C,CLARK,-87.692417,39.276515,545,Coal Test,Nuclear Log,67,4,,,,,,,,,,
02323921000C,CLARK,-87.824761,39.289541,605.3,Coal Test,Drillers Log,14.5,5.1,,,,,,,,,,
02324025000C,CLARK,-87.939853,39.209051,524,Dry Hole,Electric Log,341,4,,,,,,,,,,
02324110000C,CLARK,-87.547757,39.43171,516,Coal Test,Drillers Log,,,,,14.7,4,,,,,,
02324113000C,CLARK,-87.549168,39.411357,550,Coal Test,Drillers Log,,,,,-2,5.4,,,,,,
