IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_DANVILLE,THICK_DANVILLE,TOP_HERRIN,THICK_HERRIN,TOP_SPRING,THICK_SPRING,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY
03305059000C,CRAWFORD,-87.813066,38.946794,522,Oil and Gas Test,Electric Log,53,4,2,2,-55,4,-234,,-266,5.5
03305208000C,CRAWFORD,-87.841079,38.928399,480,Oil and Gas Test,Electric Log,106,2,51,,-17,3,-194,,-214,5
03305209000C,CRAWFORD,-87.848174,38.928241,475,Oil and Gas Test,Electric Log,73,2,15,,-36,2.5,-225,,-243,5
03305258000C,CRAWFORD,-87.83627,38.924697,490,Oil and Gas Test,Electric Log,90,3,36,2,-25,,-204,,-215,6
03305349000C,CRAWFORD,-87.851746,38.92558,473,Oil and Gas Test,Electric Log,55,2,1,,-56,2.5,-231,,-258,6
03305545000C,CRAWFORD,-87.785622,39.080509,547,Oil and Gas Test,Electric Log,37,3,-19,2.5,-70,3.5,-251,,-260,7
03305575000C,CRAWFORD,-87.728644,39.066462,530,Oil and Gas Test,Electric Log,10,4,-43,2,-93,2.5,-285,,-308,4.5
03305590000C,CRAWFORD,-87.719188,39.071799,550,Oil and Gas Test,Electric Log,13,4,-42,2.5,-89,2,-280,,-308,6
03305895000C,CRAWFORD,-87.864494,39.063102,539,Oil and Gas Test,Electric Log,53,3.5,-3,,-41,,-217,,-243,6
03306089000C,CRAWFORD,-87.888315,39.053433,511,Oil and Gas Test,Electric Log,108,4,53,,13,,-161,,-184,
03306217000C,CRAWFORD,-87.837647,39.027985,501,Oil and Gas Test,Electric Log,41,4,-9,,-56,2.5,-224,,-266,6
03306341000C,CRAWFORD,-87.879636,39.00183,485,Oil and Gas Test,Electric Log,105,2,59,2,6,2.5,-162,,-181,6.5
03306461000C,CRAWFORD,-87.683403,38.873669,447,Oil and Gas Test,Electric Log,91,3,34,,-32,2,-228,,-240,5
03306489000C,CRAWFORD,-87.91064,39.039115,500,Oil and Gas Test,Electric Log,44,,-6,,-51,,-224,,,
03306513000C,CRAWFORD,-87.760141,39.158939,521,Oil and Gas Test,Electric Log,71,3,20,1.5,-31,2.5,-209,,-253,5
03306531000C,CRAWFORD,-87.75585,39.104559,559,Oil and Gas Test,Electric Log,28,3,-33,,-85,,-263,,-281,4
03306617000C,CRAWFORD,-87.890462,39.121652,535,Oil and Gas Test,Electric Log,111,4,68,3.5,9,3.5,-128,,-151,7
03306619000C,CRAWFORD,-87.638329,39.02645,448,Oil and Gas Test,Electric Log,53,,-2,,-46,,,,,
03306624000C,CRAWFORD,-87.815077,39.121656,561,Oil and Gas Test,Electric Log,65,4,8,2,-38,2.5,-209,,-229,5
03307019000C,CRAWFORD,-87.923518,39.143446,548,Oil and Gas Test,Electric Log,252,3,216,2,166,3.5,33,,11,5.5
03307041000C,CRAWFORD,-87.929394,39.130634,541,Oil and Gas Test,Electric Log,176,2.5,142,,89,3,-41,,-65,5
03307232000C,CRAWFORD,-87.924182,39.067616,491,Oil and Gas Test,Electric Log,41,,-14,,-49,2,-226,,-248,3
03307233000C,CRAWFORD,-87.937981,39.066015,503,Oil and Gas Test,Electric Log,25,1.5,-23,1.5,-63,2,-240,,-270,2.5
03307263000C,CRAWFORD,-87.79,39.091828,545,Oil and Gas Test,Electric Log,65,,8,,-43,,-228,,-247,
03307297000C,CRAWFORD,-87.817775,38.902391,448,Oil and Gas Test,Nuclear Log,117,3,58,,2,3,-197,,-209,
03307323000C,CRAWFORD,-87.924066,39.060112,489,Oil and Gas Test,Electric Log,37,,-21,,-54,2.5,-231,,-253,2
03307420000C,CRAWFORD,-87.925159,39.055527,489,Oil and Gas Test,Electric Log,22,,-24,,-66,,-239,,-261,2
03307470000C,CRAWFORD,-87.730731,38.941648,547,Oil and Gas Test,Electric Log,89,4,,,-21,3,-229,,,
03307474000C,CRAWFORD,-87.864969,38.985246,480,Oil and Gas Test,Nuclear Log,96,3,48,2,-4,2.5,-189,,-200,5
03307523000C,CRAWFORD,-87.721351,38.949253,560,Oil and Gas Test,Electric Log,107,3,27,2,-34,2.5,-233,,-250,5.5
03307632000C,CRAWFORD,-87.721438,38.96383,554,Oil and Gas Test,Electric Log,75,,29,2,-31,2.5,-238,,-265,
03307639000C,CRAWFORD,-87.840003,39.01791,486,Oil and Gas Test,Electric Log,32,2,-19,,-74,,-249,,-275,2.5
03307655000C,CRAWFORD,-87.690549,38.94925,541,Oil and Gas Test,Electric Log,84,,35,1.5,-25,,-233,,-255,
03307669000C,CRAWFORD,-87.730716,38.93797,517,Oil and Gas Test,Electric Log,84,3,37,,-23,3,-228,,-245,3
03307911000C,CRAWFORD,-87.891603,39.038348,509,Oil and Gas Test,Electric Log,103,2,59,3,15,3,-151,,-198,3
03307978000C,CRAWFORD,-87.932512,39.071334,509,Oil and Gas Test,Electric Log,51,2,1,,-39,2,-204,,-231,3
03308019000C,CRAWFORD,-87.806338,39.143795,580,Oil and Gas Test,Electric Log,37,2,-18,2,-66,2,-232,,-254,6
03308026000C,CRAWFORD,-87.890023,38.961897,477,Oil and Gas Test,Electric Log,-18,2.5,-64,,-119,3,-290,,-317,5
03308076000C,CRAWFORD,-87.802012,39.102716,547,Oil and Gas Test,Electric Log,67,3.5,15,1.5,-32,2,-213,,-248,
03308177000C,CRAWFORD,-87.626275,38.977576,465,Oil and Gas Test,Electric Log,105,,50,,-7,,,,,
03308197000C,CRAWFORD,-87.86569,39.005854,491,Oil and Gas Test,Electric Log,105,,61,,6,1.5,,,-196,
03308251000C,CRAWFORD,-87.721218,38.995434,536.6,Oil and Gas Test,Other Core Study,60.6,2.83,,,,,,,,
03308271000C,CRAWFORD,-87.896659,39.058237,510,Oil and Gas Test,Electric Log,76,2.5,24,,-12,,-193,,-220,3.5
03308282000C,CRAWFORD,-87.543714,38.900197,448,Oil and Gas Test,Electric Log,182,2,128,,71,2.5,-134,,,
03308301000C,CRAWFORD,-87.809788,39.068534,540,Oil and Gas Test,Electric Log,49,2,-6,2,-68,3,-216,,-255,3.5
03308302000C,CRAWFORD,-87.767476,39.030712,556,Oil and Gas Test,Electric Log,56,,1,,-56,2,-232,,-257,5
03308356000C,CRAWFORD,-87.8192,38.930388,498,Oil and Gas Test,Nuclear Log,120,3,67,2,5,2.5,-179,,-166,5
03308396000C,CRAWFORD,-87.865074,39.030753,508,Oil and Gas Test,Electric Log,68,,22,,-34,2,-189,,-233,3
03308414000C,CRAWFORD,-87.82053,38.991152,509,Oil and Gas Test,Electric Log,99,,48,,-4,,-195,,-226,
03308476000C,CRAWFORD,-87.585203,39.020108,447,Oil and Gas Test,Electric Log,111,,47,,2,,-164,,-204,
03308499000C,CRAWFORD,-87.881389,38.977778,459,Oil and Gas Test,Electric Log,48,,1,,-52,2,-218,,-240,
03308519000C,CRAWFORD,-87.876527,39.173165,569,Oil and Gas Test,Electric Log,60,2.5,9,2,-37,3.5,-182,,-218,2
03308524000C,CRAWFORD,-87.826932,39.057684,522,Oil and Gas Test,Electric Log,90,3,39,,-5,2.5,-176,,-211,5
03308548000C,CRAWFORD,-87.772879,38.954126,530,Oil and Gas Test,Electric Log,53,,2,,-55,,-246,,-260,
03308562000C,CRAWFORD,-87.884698,38.958441,461,Oil and Gas Test,Nuclear Log,-13,3,-61,2,-115,2,-288,,-310,5.5
03308693000C,CRAWFORD,-87.781152,39.012012,537,Oil and Gas Test,Electric Log,93,,38,,-7,,,,,
03308732000C,CRAWFORD,-87.903176,39.071383,485,Oil and Gas Test,Electric Log,50,1.5,,,-43,2,-223,,-250,4.5
03308742000C,CRAWFORD,-87.925432,39.159905,560,Oil and Gas Test,Electric Log,319,2,282,2,236,2.5,110,,85,4.5
03308865000C,CRAWFORD,-87.644091,38.943217,522,Oil and Gas Test,Electric Log,100,,46,,-22,,,,,
03308871000C,CRAWFORD,-87.640545,38.949674,526,Oil and Gas Test,Electric Log,70,,14,,-60,,-236,,-261,
03308898000C,CRAWFORD,-87.905227,39.064133,487,Oil and Gas Test,Electric Log,62,2.5,5,,-30,2,-208,,-230,2
03308932000C,CRAWFORD,-87.772937,38.932132,471,Oil and Gas Test,Electric Log,78,3.5,26,,-35,2.5,-216,,-229,4.5
03309039000C,CRAWFORD,-87.909296,39.07235,514,Oil and Gas Test,Electric Log,55,,3,,-42,,-227,,-237,3
03309051000C,CRAWFORD,-87.683134,38.916361,539,Oil and Gas Test,Electric Log,129,,,,25,,-185,,,
03309060000C,CRAWFORD,-87.881104,38.898826,436,Oil and Gas Test,Electric Log,-286,,-345,,-407,,-615,,,
03309118000C,CRAWFORD,-87.571139,38.85857,,Coal Test,Drillers Log,,2.59,,1.58,,3.83,,,,
03309120000C,CRAWFORD,-87.557009,38.860499,,Coal Test,Drillers Log,,2.75,,1.75,,3.92,,,,
03309132000C,CRAWFORD,-87.878513,39.010421,495,Oil and Gas Test,Electric Log,109,1.5,61,1.5,11,2,-157,,-185,
03309355000C,CRAWFORD,-87.830302,39.127607,558,Oil and Gas Test,Drillers Log,52,2.5,-4,2,-43,2.7,,,,
03324628000C,CRAWFORD,-87.836568,39.137763,562,Oil and Gas Test,Electric Log,37,1.5,-16,2,-62,2,-240,,-254,6
03324744000C,CRAWFORD,-87.814296,38.903363,440,Oil and Gas Test,Nuclear Log,129,3,73,2,17,2,-180,,-189,6
03324749000C,CRAWFORD,-87.793859,39.039307,546,Oil and Gas Test,Nuclear Log,92,3.5,42,2.5,-10,2.5,-170,,-224,4
03324765000C,CRAWFORD,-87.795105,39.039295,546,Oil and Gas Test,Nuclear Log,91,4,42,2.5,-11,2.5,-171,,-221,4.5
03324782000C,CRAWFORD,-87.786208,39.039165,556,Oil and Gas Test,Nuclear Log,66,4,17,4,-36,2.5,-216,,-232,7
03324930000C,CRAWFORD,-87.834264,38.904274,476,Oil and Gas Test,Nuclear Log,22,3,-25,1.5,-80,2,-273,,-292,6
03324976000C,CRAWFORD,-87.927669,39.072947,509,Oil and Gas Test,Electric Log,45,1.5,-11,,-41,2,-209,,-237,7
03329752000C,CRAWFORD,-87.739249,39.058301,551,Oil and Gas Test,Electric Log,9,3.5,-46,2,-97,2,-279,,-305,5.5
03329798000C,CRAWFORD,-87.850557,38.943104,452,Oil and Gas Test,Nuclear Log,76,3,26,2,-30,2.5,-191,,-221,6.5
03329800000C,CRAWFORD,-87.864531,38.941974,466,Oil and Gas Test,Nuclear Log,68,3,20,2,-35,3,-210,,-298,6
03329814000C,CRAWFORD,-87.827203,38.902387,469,Oil and Gas Test,Nuclear Log,46,2.5,-3,,-55,3,-245,,-266,5
03329821000C,CRAWFORD,-87.79604,39.109259,551,Oil and Gas Test,Electric Log,60,,6,,-39,,-211,,-251,
03329824000C,CRAWFORD,-87.657116,38.984903,470,Oil and Gas Test,Electric Log,90,,38,,-12,,-214,,,
03329836000C,CRAWFORD,-87.750903,39.074576,572,Oil and Gas Test,Electric Log,14,,-40,2,-91,2,-275,,,
03329852000C,CRAWFORD,-87.843683,38.94846,485,Oil and Gas Test,Nuclear Log,76,3,29,2.5,-34,2.5,-207,,-223,6.5
03329872000C,CRAWFORD,-87.937556,38.983319,480,Oil and Gas Test,Electric Log,-231,,-280,,-336,,-535,,-554,
03329895000C,CRAWFORD,-87.849226,38.958978,478,Oil and Gas Test,Nuclear Log,79,2.5,29,1.5,-27,3,-198,,-216,6
03329896000C,CRAWFORD,-87.850144,38.955107,483,Oil and Gas Test,Nuclear Log,99,3,49,2,-10,3,-170,,-193,6
03329909000C,CRAWFORD,-87.668428,39.074848,482,Oil and Gas Test,Electric Log,35,3,,,-64,,-257,,-290,
03329921000C,CRAWFORD,-87.928118,39.147081,558,Oil and Gas Test,Electric Log,254,,226,,186,,58,,31,
03329954000C,CRAWFORD,-87.718031,39.074537,576,Oil and Gas Test,Electric Log,14,2,-37,1.5,-83,1.5,-274,,,
03329958000C,CRAWFORD,-87.566889,38.852501,,Coal Test,Drillers Log,,2.83,,1.67,,3.42,,,,
03329979000C,CRAWFORD,-87.883487,39.02509,508,Oil and Gas Test,Nuclear Log,119,4,69,2.5,18,2,-149,,-184,6
03329989000C,CRAWFORD,-87.884082,39.032658,512,Oil and Gas Test,Nuclear Log,137,2.5,76,3.5,38,,-138,,-166,6
03330009000C,CRAWFORD,-87.810705,38.90801,444,Oil and Gas Test,Nuclear Log,141,3,81,2,26,3.5,-166,,-191,5
03330019000C,CRAWFORD,-87.765099,39.094845,592,Oil and Gas Test,Electric Log,38,,-22,,-77,,-259,,-277,
03330144000C,CRAWFORD,-87.630629,38.999093,450,Oil and Gas Test,Electric Log,85,,,,-23,,,,,
03330155000C,CRAWFORD,-87.756228,38.885478,525,Oil and Gas Test,Nuclear Log,92,3,35,2.5,-20,2.5,-215,,-225,6
03330156000C,CRAWFORD,-87.878623,39.028952,514,Oil and Gas Test,Nuclear Log,130,3,78,2.5,39,3.5,-131,,-163,7
03330162000C,CRAWFORD,-87.812485,38.913528,455,Oil and Gas Test,Nuclear Log,130,3,75,2,21,2.5,-167,,-187,6
03330185000C,CRAWFORD,-87.846628,38.954681,475,Oil and Gas Test,Nuclear Log,80,3,29,2,-32,3,-199,,-212,7
03330194000C,CRAWFORD,-87.838554,38.915447,508,Oil and Gas Test,Electric Log,71,2,13,,-46,,-227,,-245,5
03330213000C,CRAWFORD,-87.82461,38.9188,501,Oil and Gas Test,Nuclear Log,119,3,73,1.5,14,2.5,-174,,-193,6
03330223000C,CRAWFORD,-87.72341,38.893734,560,Oil and Gas Test,Electric Log,149,,99,,55,,-173,,-192,
03330230000C,CRAWFORD,-87.726967,38.871674,569,Oil and Gas Test,Nuclear Log,111,4,56,,-25,2,-211,,-238,6
03330231000C,CRAWFORD,-87.803523,39.128858,564,Oil and Gas Test,Electric Log,52,4,-3,2,-50,3,-225,,-238,6
03330262000C,CRAWFORD,-87.624101,38.912376,511,Oil and Gas Test,Electric Log,109,,48,,-16,,-205,,,
03330290000C,CRAWFORD,-87.629349,39.002676,449,Oil and Gas Test,Nuclear Log,79,,23,,-27,2,-215,,,
03330389000C,CRAWFORD,-87.767029,39.064063,575,Oil and Gas Test,Nuclear Log,25,4,-35,3,-84,2.5,-271,,-280,6.5
03330391000C,CRAWFORD,-87.761624,39.064073,573,Oil and Gas Test,Nuclear Log,31,3.5,-31,3.5,-81,2.5,-257,,-266,7
03330405000C,CRAWFORD,-87.548864,38.893722,439,Oil and Gas Test,Nuclear Log,184,2.5,131,1,73,2.5,-137,,-169,4
03330410000C,CRAWFORD,-87.766443,39.06774,573,Oil and Gas Test,Nuclear Log,43,4,-16,3.5,-65,2.5,-242,,-250,7
03330497000C,CRAWFORD,-87.807909,38.911722,449,Oil and Gas Test,Nuclear Log,134,3,83,2,19,2.5,-168,,-183,3
03330509000C,CRAWFORD,-87.822192,38.920936,486,Oil and Gas Test,Nuclear Log,116,3,69,2,10,2.5,-178,,-195,6
03330521000C,CRAWFORD,-87.857604,38.952089,456,Oil and Gas Test,Nuclear Log,60,3,13,2,-44,2.5,-210,,-230,6
03330526000C,CRAWFORD,-87.852996,38.948454,480,Oil and Gas Test,Nuclear Log,77,3,28,2,-30,2.5,-192,,-213,7
03330544000C,CRAWFORD,-87.713958,39.093626,504,Oil and Gas Test,Nuclear Log,14,3,-34,2,-90,2.5,-276,,-299,5
03330928000C,CRAWFORD,-87.781949,39.06412,559,Oil and Gas Test,Nuclear Log,24,4.5,-31,3.5,-80,3.5,-264,,-282,6.5
03333024000C,CRAWFORD,-87.736494,39.160625,515,Coal Test,Multiple log types,39.9,4,-10,2,-63,3.6,-240.4,1.5,-274.6,8.45
03333025000C,CRAWFORD,-87.712931,39.133652,505,Coal Test,Multiple log types,-0.3,3.2,-51,2,-103.6,4,-279.6,1,-304.8,7.2
03333026000C,CRAWFORD,-87.750653,39.142501,551,Coal Test,Multiple log types,42,3.9,-11.7,2.1,-65,3.1,-247,1.6,-271.6,8.9
03333027000C,CRAWFORD,-87.737702,39.119519,522,Coal Test,Multiple log types,10.7,3.4,-41.4,1.8,-98,3.5,-287.2,0.8,-306.9,7.49
03333028000C,CRAWFORD,-87.69971,39.122366,505,Coal Test,Gamma Ray Density,19.2,4,-31,1.7,-84.5,3.3,-262,1.5,-296,7.7
03335683000C,CRAWFORD,-87.635211,39.07151,452,Coal Test,Drillers Log,50.2,3.6,3.8,1.1,-46.5,2.5,,,-247.3,6.96
03335684000C,CRAWFORD,-87.635122,39.071509,452,Coal Test,Drillers Log,50,3.5,4.4,1.07,-44.9,3.11,-248,7,-248.5,5
03335685000C,CRAWFORD,-87.684497,39.046314,484,Coal Test,Drillers Log,41.1,3.36,-9.6,2.02,-65,3,-266.1,0.85,-296,8.1
03335686000C,CRAWFORD,-87.587966,39.005985,430,Coal Test,Drillers Log,94,2.37,30.5,1.93,-48,2.3,-205,0.99,-227.4,5.9
03390083000C,CRAWFORD,-87.666304,39.15771,443,Coal Test,Drillers Log,45.7,3.92,,,-46,3.5,,,-257,8.17
03390100000C,CRAWFORD,-87.577668,38.896074,482.3,Coal Test,Drillers Log,116.3,2,,,1.3,3.2,,,,
03390101000C,CRAWFORD,-87.612697,38.90185,586.7,Coal Test,Drillers Log,108.7,3,,,,,,,,
03390102000C,CRAWFORD,-87.550672,38.927744,462.2,Coal Test,Drillers Log,149.2,2.2,93.5,0.5,33.7,2.58,,,,
03390103000C,CRAWFORD,-87.559662,38.943377,465,Coal Test,Drillers Log,130,3.67,,,19,2.42,,,,
03390104000C,CRAWFORD,-87.619314,38.976871,483,Coal Test,Drillers Log,148,1,100,1,,,,,,
03390105000C,CRAWFORD,-87.631133,38.979308,462,Coal Test,Drillers Log,115,3.58,59,3,6,3.83,,,,
03390107000C,CRAWFORD,-87.602101,39.043245,443,Coal Test,Drillers Log,61,1.9,5.5,1,-43,3,,,,
03390108000C,CRAWFORD,-87.606172,38.98128,493,Coal Test,Drillers Log,123,2,68,0.5,,,,,,
03390109000C,CRAWFORD,-87.749787,39.078141,446,Coal Test,Drillers Log,53,2,9,1,-38.3,2,,,,
03390110000C,CRAWFORD,-87.667662,39.073096,475,Coal Test,Drillers Log,37,3,,,-63,3.42,,,,
03500001000C,CUMBERLAND,-88.463075,39.302766,652,Oil and Gas Test,Electric Log,-248,,-308,2.5,-328,4,,,,
03500005000C,CUMBERLAND,-88.430663,39.300807,662,Oil and Gas Test,Electric Log,-286,2.5,-352,3.5,-373,4,-568,,-585,5
03500008000C,CUMBERLAND,-88.165186,39.198953,585,Oil and Gas Test,Electric Log,-520,3,-556,6,-587,3.5,-775,,-782,3.5
03500025000C,CUMBERLAND,-88.287202,39.369593,650,Oil and Gas Test,Electric Log,-330,,-470,5,-484,,-656,,-675,5
03500027000C,CUMBERLAND,-88.414439,39.344265,667,Oil and Gas Test,Electric Log,-185,,-284,4,-296,3,-467,,,
03500029000C,CUMBERLAND,-88.395719,39.24471,609,Oil and Gas Test,Electric Log,-373,3,-395,5.5,-423,3,-623,,-644,2.5
03500030000C,CUMBERLAND,-88.425792,39.244889,648,Oil and Gas Test,Electric Log,-378,3.5,-407,6,-436,4,-632,,-642,4
03500031000C,CUMBERLAND,-88.441974,39.237602,652,Oil and Gas Test,Electric Log,-373,4,-399,5.5,-435,2,-608,,-618,4
03500032000C,CUMBERLAND,-88.375633,39.23476,623,Oil and Gas Test,Electric Log,-405,4,-429,6,-459,3,-657,,-673,5
03500033000C,CUMBERLAND,-88.264101,39.238627,590,Oil and Gas Test,Electric Log,-508,3,-533,5,-567,4.5,-783,,-794,6
03500034000C,CUMBERLAND,-88.3196,39.217618,570,Oil and Gas Test,Electric Log,-527,4,-554,6,-587,4,-792,,-810,5
03500044000C,CUMBERLAND,-88.122352,39.333513,562,Oil and Gas Test,Electric Log,-220,,-327,4.5,-352,3,-504,,-518,3
03500047000C,CUMBERLAND,-88.122371,39.349857,585,Oil and Gas Test,Electric Log,-185,,-301,4,-325,3,-479,,-491,4
03500048000C,CUMBERLAND,-88.184214,39.223586,544,Oil and Gas Test,Electric Log,-505,3,-539,4,-579,4,-762,,-781,5
03500052000C,CUMBERLAND,-88.01736,39.233511,633,Oil and Gas Test,Electric Log,213,,164,2,128,3,8,,-17,3
03500058000C,CUMBERLAND,-88.437723,39.329894,660,Oil and Gas Test,Electric Log,-195,,-282,3,-299,,,,-517,5
03500060000C,CUMBERLAND,-88.048849,39.243882,614,Oil and Gas Test,Electric Log,219,3,174,3.5,146,2.5,25,,6,3.5
03500062000C,CUMBERLAND,-88.041773,39.247689,620,Oil and Gas Test,Electric Log,267,3,223,4,195,5.5,79,,59,4.5
03500070000C,CUMBERLAND,-88.407646,39.271781,648,Oil and Gas Test,Electric Log,-364,2.5,-407,4,-434,3.5,-628,,-644,6
03500071000C,CUMBERLAND,-88.423855,39.326209,662,Oil and Gas Test,Electric Log,-218,,-315,4,-335,3,-521,,-543,5
03500073000C,CUMBERLAND,-88.451603,39.331869,658,Oil and Gas Test,Electric Log,-225,,-294,4,-306,4,,,,
03500074000C,CUMBERLAND,-88.43328,39.33712,658,Oil and Gas Test,Electric Log,-181,,-277,3.5,-308,4,-432,,,
03500075000C,CUMBERLAND,-88.382563,39.344111,,Oil and Gas Test,Electric Log,,,,4,,,,,,2
03500076000C,CUMBERLAND,-88.326555,39.307911,622,Oil and Gas Test,Electric Log,-287,,-393,4.5,-417,2.5,-608,,-648,2.5
03500077000C,CUMBERLAND,-88.305442,39.288038,614,Oil and Gas Test,Electric Log,-364,,-446,5,,,-665,,-714,5
03500078000C,CUMBERLAND,-88.205345,39.279527,598,Oil and Gas Test,Electric Log,-414,,-477,5.5,-510,4,-696,,-708,4.5
03500079000C,CUMBERLAND,-88.139736,39.291117,588,Oil and Gas Test,Electric Log,-335,3,-413,6,-442,5,-615,,-638,5.5
03500080000C,CUMBERLAND,-88.1003,39.325104,611,Oil and Gas Test,Electric Log,-81,,-179,5,-203,3,-353,,-367,4
03500081000C,CUMBERLAND,-88.054657,39.297749,585,Oil and Gas Test,Electric Log,208,3.5,164,3,142,2.5,11,,-6,5.5
03500082000C,CUMBERLAND,-88.040213,39.276248,634,Oil and Gas Test,Electric Log,302,2.5,253,3,230,2.5,114,,92,4
03500083000C,CUMBERLAND,-88.353357,39.230178,612,Oil and Gas Test,Electric Log,-428,4,-452,6,-489,2.5,-676,,-697,5
03500084000C,CUMBERLAND,-88.219394,39.210615,515,Oil and Gas Test,Electric Log,-492,4,-522,5,-557,3,-745,,,
03500085000C,CUMBERLAND,-88.444646,39.29907,660,Oil and Gas Test,Electric Log,-266,,-332,2,-353,5,-549,,-572,4.5
03500086000C,CUMBERLAND,-88.139492,39.201975,532,Oil and Gas Test,Electric Log,-450,2,-498,5,-530,4,-706,,-728,4
03500087000C,CUMBERLAND,-88.073114,39.192903,592,Oil and Gas Test,Electric Log,-257,3.5,-300,5.5,-342,5,-487,,,
03500088000C,CUMBERLAND,-88.029464,39.222179,620,Oil and Gas Test,Electric Log,220,,180,3,145,,31,,,
03500089000C,CUMBERLAND,-88.022476,39.226064,627,Oil and Gas Test,Electric Log,238,,197,3,165,4,-46,,,
03500090000C,CUMBERLAND,-88.407226,39.235772,632,Oil and Gas Test,Electric Log,-380,3.5,-402,6,-432,2.5,-628,,-649,4
03500092000C,CUMBERLAND,-88.455801,39.228492,639,Oil and Gas Test,Electric Log,-368,3.5,-388,5.5,-415,5,-605,,-616,6
03500093000C,CUMBERLAND,-88.455673,39.179692,609,Oil and Gas Test,Electric Log,-377,3.5,-400,3,-430,4,-607,,-625,5
03500094000C,CUMBERLAND,-88.446036,39.179708,609,Oil and Gas Test,Electric Log,-401,5,-429,5,-455,5,-647,3,-659,5.5
03500095000C,CUMBERLAND,-88.395032,39.179415,592,Oil and Gas Test,Electric Log,-390,3.5,-414,5,-441,4,-626,,-652,3.5
03500096000C,CUMBERLAND,-88.292669,39.206622,526,Oil and Gas Test,Electric Log,-507,,-532,6,-564,4,-766,,-788,6
03500097000C,CUMBERLAND,-88.255615,39.197548,582,Oil and Gas Test,Electric Log,-540,3.5,-568,5,-601,4,-796,,-821,4.5
03500099000C,CUMBERLAND,-88.139359,39.187104,583,Oil and Gas Test,Electric Log,-463,3,-509,6,-542,5,-717,,,
03500100000C,CUMBERLAND,-88.407574,39.331615,670,Oil and Gas Test,Electric Log,-222,,-322,3,-335,3,-520,,-548,4
03500101000C,CUMBERLAND,-88.435488,39.317039,662,Oil and Gas Test,Electric Log,-180,,-305,3.5,-326,4,-511,,-526,5
03500104000C,CUMBERLAND,-88.411486,39.179512,608,Oil and Gas Test,Electric Log,-408,3.5,-432,3.5,-459,3,-654,,-667,5
03500106000C,CUMBERLAND,-88.176876,39.18706,588,Oil and Gas Test,Electric Log,-525,3.5,-562,6,-586,4,-770,,-778,3.5
03500107000C,CUMBERLAND,-88.381931,39.273385,636,Oil and Gas Test,Electric Log,-355,3,-394,4,-418,4,-619,,-630,5
03500108000C,CUMBERLAND,-88.324205,39.287933,620,Oil and Gas Test,Electric Log,,,-460,5,-478,3,-684,,-711,4
03500110000C,CUMBERLAND,-88.398144,39.369361,667,Oil and Gas Test,Electric Log,-181,,-267,4,-284,,,,,
03500111000C,CUMBERLAND,-88.437846,39.372986,659,Oil and Gas Test,Electric Log,-395,3,-468,4,-478,,-656,,-695,4
03500112000C,CUMBERLAND,-88.469688,39.364398,649,Oil and Gas Test,Electric Log,-396,3,-455,4.5,-469,,-653,,-675,5
03500113000C,CUMBERLAND,-88.421376,39.353298,666,Oil and Gas Test,Electric Log,-218,,-304,4,-321,,,,,
03500114000C,CUMBERLAND,-88.409712,39.358629,668,Oil and Gas Test,Electric Log,-197,,-292,4,-307,,,,,
03500115000C,CUMBERLAND,-88.028806,39.194647,599,Oil and Gas Test,Electric Log,81,,39,5,5,,-115,,,
03500117000C,CUMBERLAND,-88.310186,39.313463,610,Oil and Gas Test,Electric Log,-318,,-433,4.5,-450,3.5,-646,,-695,3
03500127000C,CUMBERLAND,-88.412188,39.369437,669,Oil and Gas Test,Electric Log,-192,,-269,4,-291,,,,,
03500135000C,CUMBERLAND,-88.235671,39.225342,584,Oil and Gas Test,Electric Log,-507,3,-537,5.5,-570,4,-766,,,
03500137000C,CUMBERLAND,-88.150873,39.181644,582,Oil and Gas Test,Electric Log,-498,,-535,6,-570,4.5,-745,,-762,5
03500148000C,CUMBERLAND,-88.203166,39.23628,590,Oil and Gas Test,Electric Log,-531,3.5,-566,4,-606,4,-797,,-811,4.5
03500157000C,CUMBERLAND,-88.091818,39.252066,592,Oil and Gas Test,Electric Log,-233,,-288,5,-318,4,-473,,-490,2.5
03500170000C,CUMBERLAND,-88.341062,39.355057,654,Oil and Gas Test,Electric Log,-256,,-361,5,-381,,,,,
03500172000C,CUMBERLAND,-88.114083,39.284449,596,Oil and Gas Test,Electric Log,-291,,-356,4.5,-384,4,-530,,-554,4
03500173000C,CUMBERLAND,-88.157987,39.185296,523,Oil and Gas Test,Electric Log,-536,3,-571,5,-608,3,-793,,-797,4
03500184000C,CUMBERLAND,-88.219928,39.345148,604,Oil and Gas Test,Electric Log,-366,,-480,,-503,3.5,-683,,,
03500196000C,CUMBERLAND,-88.125099,39.360753,616,Oil and Gas Test,Electric Log,-167,,-278,3.5,-301,3.5,-456,,-473,4
03500197000C,CUMBERLAND,-88.087624,39.284944,610,Oil and Gas Test,Electric Log,-130,,-184,3.5,-213,3,-352,,-376,4
03500214000C,CUMBERLAND,-88.102062,39.238984,553,Oil and Gas Test,Electric Log,-338,,-399,4.5,-423,3,-580,,,
03500258000C,CUMBERLAND,-88.160881,39.3058,547,Oil and Gas Test,Electric Log,-371,,-467,3,-496,3,-679,,,
