IDS,COUNTY_NAME,LONGITUDE,LATITUDE,SURFELV,WELL_TYPE,LOG_TYPE,TOP_DANVILLE,THICK_DANVILLE,TOP_HERRIN,THICK_HERRIN,TOP_SPRING,THICK_SPRING,TOP_COLCH,THICK_COLCH,TOP_SEELY,THICK_SEELY
02300639000C,CLARK,-87.581565,39.252218,450,Oil and Gas Test,Electric Log,166,3,80,,47,2.5,-96,,-156,2
02300640000C,CLARK,-87.584823,39.238403,450,Oil and Gas Test,Electric Log,161,3.5,86,,55,2,-102,,-162,6
02300641000C,CLARK,-87.599376,39.214433,453,Oil and Gas Test,Electric Log,146,3.5,75,,40,,-129,,-186,5
02300643000C,CLARK,-87.77294,39.216769,585,Oil and Gas Test,Electric Log,33,,-19,1,-59,2,,,-239,6
02300645000C,CLARK,-87.767278,39.185223,561,Oil and Gas Test,Electric Log,46,2,-5,1.5,-48,3,-211,,-261,4
02300662000C,CLARK,-87.792242,39.230134,604,Oil and Gas Test,Electric Log,38,3,-16,,-55,3,-200,,,
02300666000C,CLARK,-87.815914,39.231279,603,Producer-Oil and Gas,Electric Log,21.2,4,-44,3,-76.5,4,-221,,-269.5,8.5
02300670000C,CLARK,-87.7988,39.21354,603,Oil and Gas Test,Electric Log,55,3,3,1.5,-39,3.5,-201,,-239,6
02300673000C,CLARK,-87.786795,39.206575,605,Oil and Gas Test,Electric Log,42,1.5,-6,2,-47,3,-213,,-262,7
02300773000C,CLARK,-87.611139,39.338186,541,Oil and Gas Test,Electric Log,175,2,47,,23,4,-129,,-163,5.5
02300774000C,CLARK,-87.620496,39.340101,539,Oil and Gas Test,Electric Log,161,3,45,,16,3.5,-141,,-171,5.5
02300775000C,CLARK,-87.655656,39.290953,537,Oil and Gas Test,Electric Log,137,3,57,,24,4,-105,,-166,3.5
02300776000C,CLARK,-87.611282,39.299782,468,Oil and Gas Test,Electric Log,151,2.5,44,,12,3,-127,,,
02300777000C,CLARK,-87.604086,39.292509,450,Oil and Gas Test,Electric Log,176,,80,,51,3.5,-80,,-142,3.5
02300778000C,CLARK,-87.620638,39.280066,470,Oil and Gas Test,Electric Log,115,3.5,28,2,-16,4,-132,,,
02300779000C,CLARK,-87.639341,39.272836,455,Oil and Gas Test,Electric Log,117,2.5,45,,2,3,-140,,-205,4
02300781000C,CLARK,-87.891186,39.29908,571,Oil and Gas Test,Electric Log,404,3.5,361,2,333,3,,,209,3
02300782000C,CLARK,-87.879754,39.299267,594,Oil and Gas Test,Electric Log,409,3.5,358,2,333,3.5,262,,,
02300783000C,CLARK,-87.873823,39.299301,613,Oil and Gas Test,Electric Log,388,4,339,2,312,3.5,234,,193,5
02300784000C,CLARK,-87.803536,39.284492,604,Oil and Gas Test,Electric Log,46,3,-6,,-44,3.5,-146,,-216,
02300795000C,CLARK,-87.89362,39.275971,576,Oil and Gas Test,Electric Log,452,2.5,410,2,386,1.5,274,,237,3
02300798000C,CLARK,-88.010157,39.331368,645,Oil and Gas Test,Electric Log,326,2.5,255,2,235,3.5,105,,69,4
02300800000C,CLARK,-87.618084,39.269238,456,Oil and Gas Test,Electric Log,101,3.5,21,,-20,2.5,-161,,-225,5
02300801000C,CLARK,-87.728492,39.262199,582,Oil and Gas Test,Electric Log,28,4,-23,2.5,-68,3.5,,,-266,5.5
02300804000C,CLARK,-87.622683,39.316457,527,Oil and Gas Test,Electric Log,157,3,44,,12,3.5,-119,,-158,
02300814000C,CLARK,-87.541274,39.424401,514,Oil and Gas Test,Electric Log,344,,228,,204,2,,,7,4.5
02300815000C,CLARK,-87.569608,39.41077,561,Oil and Gas Test,Electric Log,319,4,,,145,6,-4,,-31,3.5
02300816000C,CLARK,-87.543636,39.412794,503,Oil and Gas Test,Electric Log,345,2.5,227,,201,3,49,,,
02300817000C,CLARK,-87.548282,39.396308,546,Oil and Gas Test,Electric Log,328,3,,,204,2.5,56,,,
02300818000C,CLARK,-87.548317,39.401717,552,Oil and Gas Test,Electric Log,353,2,,,193,3.5,58,,-2,4
02300819000C,CLARK,-87.541189,39.398147,548,Oil and Gas Test,Electric Log,333,2.5,206,,176,3.5,44,,-2,4.5
02300820000C,CLARK,-87.547062,39.390912,542,Oil and Gas Test,Electric Log,329,2,229,,205,4.5,66,,,
02300822000C,CLARK,-87.555294,39.376401,549,Oil and Gas Test,Electric Log,337,4.5,,,204,3,45,,,
02300823000C,CLARK,-87.56004,39.38,551,Oil and Gas Test,Electric Log,331,3,,,207,4,52,,,
02300830000C,CLARK,-87.54823,39.381867,545,Oil and Gas Test,Electric Log,335,4,,,206,2,58,,,
02300833000C,CLARK,-87.543461,39.37114,468,Oil and Gas Test,Electric Log,320,3,,,185,3.5,31,,-4,5
02300838000C,CLARK,-87.55158,39.364042,459,Oil and Gas Test,Electric Log,326,3,197,2.5,175,3.5,21,,-8,5.5
02300849000C,CLARK,-87.645771,39.432354,583,Oil and Gas Test,Electric Log,253,3.5,141,,116,3,-37,,-69,3
02300850000C,CLARK,-87.653183,39.410353,526,Oil and Gas Test,Electric Log,225,3,,,88,4,-46,,,
02300851000C,CLARK,-87.599872,39.408661,563,Oil and Gas Test,Electric Log,235,2.5,126,1.5,82,3.5,-70,,-99,
02300852000C,CLARK,-87.602119,39.390646,550,Oil and Gas Test,Electric Log,256,3,148,,118,3,-28,,,
02300853000C,CLARK,-87.622983,39.397407,510,Oil and Gas Test,Electric Log,,,,,88,3,-36,,,
